user_id,watch_time_hours,avg_session_mins,top_genres,num_sessions,completion_rate,weekend_watch_ratio
USR-8402,28.42,60.79,"[""Drama"", ""Adventure"", ""Crime""]",10,0.8,0.498
USR-6835,10.35,27.21,"[""Comedy""]",24,0.532,0.303
USR-3123,39.88,103.52,"[""Sci-Fi"", ""Action"", ""Thriller""]",26,0.849,0.503
USR-9789,1.54,15.64,"[""Drama"", ""Comedy""]",7,0.408,0.63
USR-1305,43.29,81.48,"[""Action"", ""Thriller"", ""Sci-Fi""]",17,0.861,0.291
USR-3532,50.82,105.04,"[""Sci-Fi"", ""Action""]",31,0.836,0.425
USR-3996,29.41,89.85,"[""Thriller"", ""Action""]",21,0.972,0.469
USR-8660,17.75,38.54,"[""Adventure"", ""Drama"", ""Documentary""]",26,0.771,0.762
USR-9225,34.77,35.0,"[""Mystery"", ""Adventure"", ""Drama""]",30,0.827,0.579
USR-5449,8.65,,"[""Animation"", ""Comedy""]",28,0.719,0.429
USR-4621,10.43,21.78,"[""Animation"", ""Comedy""]",24,0.78,0.363
USR-10211,4.89,19.59,[],8,0.433,0.6
USR-6023,8.8,28.8,"[""Animation"", ""Comedy""]",18,0.832,0.225
USR-8924,15.75,64.17,"[""Sci-Fi"", ""Adventure"", ""Drama"", ""Crime"", ""Mystery""]",34,0.792,0.429
USR-5476,7.8,28.55,"[""Comedy"", ""Animation""]",26,0.534,0.441
USR-7709,22.47,53.66,"[""Documentary"", ""Crime"", ""Mystery"", ""Adventure"", ""Romance""]",25,0.85,0.624
USR-1108,22.91,62.88,"[""Sci-Fi"", ""Action""]",17,0.957,0.452
USR-4320,6.02,,"[""Comedy"", ""Animation""]",19,0.53,0.304
USR-6658,10.1,25.81,"[""Animation"", ""Comedy""]",21,0.564,0.386
USR-9791,3.31,15.65,"[""Drama"", ""Comedy""]",4,0.288,0.848
USR-4085,49.278518659617525,110.68,"[""Thriller"", ""Action"", ""Sci-Fi""]",18,0.879,0.399
USR-7283,23.46,-31.230457579123836,"[""Drama"", ""Documentary"", ""Adventure"", ""Crime"", ""Romance""]",25,0.674,0.409
USR-3517,39.04,117.43,"[""Sci-Fi"", ""Action"", ""Adventure""]",20,0.974,0.482
USR-1501,44.82,98.43,"[""Sci-Fi"", ""Action"", ""Crime""]",26,0.886,0.324
USR-9794,4.5,36.26,"[""Comedy"", ""Slow TV""]",9,0.422,0.72
USR-2922,42.16,81.59,"[""Thriller"", ""Sci-Fi"", ""Action""]",28,0.77,0.409
USR-5302,8.24,19.61,"[""Animation""]",27,0.825,0.442
USR-10113,2.39,13.13,"[""Family""]",2,0.657,0.798
USR-10728,3.22,25.15,"[""Drama"", ""Comedy""]",4,0.356,0.621
